йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="01";="лекос";1;="2253";="то жаялайеио тоу буяыма ломопяосыпг ийе";="2111172578";5214,23;1,23;20,42;20,42;4377,86;83,96;836,37;16,04;0,00;0,00;0,00;0,00;291,16;5,58;
="01";="лекос";2;="2136";="тсиамтос а & сиа е.е";="210-8957207";20319,28;4,81;79,58;100,00;19983,30;98,35;335,98;1,65;0,00;0,00;0,00;0,00;956,94;4,71;
йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="02";="лг лекос-жаялайеио";1;="2265";="LOLIS SIMEON";="211 4064735";248,75;0,06;0,07;0,07;169,52;68,15;79,23;31,85;0,00;0,00;0,00;0,00;15,36;6,17;
="02";="лг лекос-жаялайеио";2;="2065";="адалопоукоу стауяоука & сиа ее";="210-8943733";1547,96;0,37;0,42;0,49;1302,43;84,14;245,53;15,86;0,00;0,00;0,00;0,00;100,89;6,52;
="02";="лг лекос-жаялайеио";3;="2203";="ахамасиоу аясемиос & сиа ее";="210-4178719";5571,46;1,32;1,52;2,01;4908,43;88,10;663,03;11,90;0,00;0,00;0,00;0,00;330,14;5,93;
="02";="лг лекос-жаялайеио";4;="2206";="айтсиакгс м. апостокос";="210-2795343";929,40;0,22;0,25;2,26;794,79;85,52;159,76;17,19;0,00;0,00;-25,15;-2,71;27,65;2,98;
="02";="лг лекос-жаялайеио";5;="2076";="амацмыстопоукос ахамасиос & сиа ее";="210-7711245";109,19;0,03;0,03;2,29;0,00;0,00;109,19;100,00;0,00;0,00;0,00;0,00;3,04;2,78;
="02";="лг лекос-жаялайеио";6;="2223";="амдяийопоукос вая. апостокос";="210-3453390";13914,44;3,29;3,79;6,08;13820,38;99,32;94,06;0,68;0,00;0,00;0,00;0,00;686,74;4,94;
="02";="лг лекос-жаялайеио";7;="2066";="амдяоуйайг дгл. басикийг";="2109630712";1563,55;0,37;0,43;6,51;1405,29;89,88;208,40;13,33;0,00;0,00;-50,14;-3,21;40,05;2,56;
="02";="лг лекос-жаялайеио";8;="2134";="амтымиадоу аццекийг";="210-9887305";12,15;0,00;0,00;6,51;15,28;125,76;0,00;0,00;0,00;0,00;-3,13;-25,76;-2,42;-19,92;
="02";="лг лекос-жаялайеио";9;="2020";="амтымиоу акенамдяос";="210-6928185";3465,46;0,82;0,94;7,46;2983,50;86,09;530,91;15,32;0,00;0,00;-48,95;-1,41;112,16;3,24;
="02";="лг лекос-жаялайеио";10;="2102";="амтымопоукос йымстамтимос";="2109711089";4077,61;0,96;1,11;8,57;3887,66;95,34;189,95;4,66;0,00;0,00;0,00;0,00;203,81;5,00;
="02";="лг лекос-жаялайеио";11;="2049";="аяалпатфг тяиамтажуккиа";="210-2833444";2547,72;0,60;0,69;9,26;2335,74;91,68;291,92;11,46;0,00;0,00;-79,94;-3,14;60,38;2,37;
="02";="лг лекос-жаялайеио";12;="2075";="аябамитг вяистима";="210-6256853";2380,53;0,56;0,65;9,91;2100,95;88,26;279,58;11,74;0,00;0,00;0,00;0,00;138,43;5,82;
="02";="лг лекос-жаялайеио";13;="2184";="беяцадоу е. лаяиа";="21210-61278";1996,92;0,47;0,54;10,45;1972,35;98,77;54,80;2,74;0,00;0,00;-30,23;-1,51;70,47;3,53;
="02";="лг лекос-жаялайеио";14;="2197";="бкаийидгс бкасгс";="210-2821739";2338,24;0,55;0,64;11,09;2200,04;94,09;126,09;5,39;12,11;0,52;0,00;0,00;128,86;5,51;
="02";="лг лекос-жаялайеио";15;="2159";="боктуяайг елл. аяцуяы";="210-3227854";3754,65;0,89;1,02;12,11;3529,84;94,01;334,68;8,91;0,00;0,00;-109,87;-2,93;102,74;2,74;
="02";="лг лекос-жаялайеио";16;="2007";="босос иыаммгс";="210-5120176";1729,87;0,41;0,47;12,58;1587,66;91,78;170,06;9,83;0,00;0,00;-27,85;-1,61;78,92;4,56;
="02";="лг лекос-жаялайеио";17;="2104";="цакамг и. йуяиайг";="210-6801560";4666,23;1,10;1,27;13,86;4162,30;89,20;456,43;9,78;47,50;1,02;0,00;0,00;258,61;5,54;
="02";="лг лекос-жаялайеио";18;="2085";="цеыяцайайоу стяакка еуцемиа";="210-6528485";2866,85;0,68;0,78;14,64;2752,83;96,02;114,02;3,98;0,00;0,00;0,00;0,00;149,11;5,20;
="02";="лг лекос-жаялайеио";19;="2210";="цеыяцайопоукос памациытгс";="210-9930103";4994,06;1,18;1,36;16,00;4610,55;92,32;383,51;7,68;0,00;0,00;0,00;0,00;247,66;4,96;
="02";="лг лекос-жаялайеио";20;="2006";="цеыяцака аццекийг";="210-8322101";2825,31;0,67;0,77;16,77;2419,00;85,62;486,89;17,23;0,00;0,00;-80,58;-2,85;78,86;2,79;
="02";="лг лекос-жаялайеио";21;="2212";="цйатсиоудг сожиа";="210-6218810";8905,86;2,11;2,43;19,19;7662,84;86,04;1226,82;13,78;16,20;0,18;0,00;0,00;518,89;5,83;
="02";="лг лекос-жаялайеио";22;="2039";="цйифамг йкеопатяа";="210-9323583";4084,03;0,97;1,11;20,31;3794,30;92,91;289,73;7,09;0,00;0,00;0,00;0,00;242,64;5,94;
="02";="лг лекос-жаялайеио";23;="2208";="цйяицйояиеба еиягмг";="210-9423241";4063,51;0,96;1,11;21,41;4094,95;100,77;51,06;1,26;0,00;0,00;-82,50;-2,03;121,42;2,99;
="02";="лг лекос-жаялайеио";24;="2115";="дадиытгс елламоугк & сиа ее";="2291070061";20624,87;4,88;5,62;27,03;20138,42;97,64;451,41;2,19;35,04;0,17;0,00;0,00;1089,58;5,28;
