йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="01";="лекос";1;="2253";="то жаялайеио тоу буяыма ломопяосыпг ийе";="2111172578";77,68;1,20;100,00;100,00;0,00;0,00;77,68;100,00;0,00;0,00;0,00;0,00;-4,33;-5,57;
йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="02";="лг лекос-жаялайеио";1;="2066";="амдяоуйайг дгл. басикийг";="2109630712";51,18;0,79;1,06;1,06;0,00;0,00;51,18;100,00;0,00;0,00;0,00;0,00;0,34;0,66;
="02";="лг лекос-жаялайеио";2;="2020";="амтымиоу акенамдяос";="210-6928185";68,89;1,07;1,43;2,50;0,00;0,00;68,89;100,00;0,00;0,00;0,00;0,00;0,02;0,03;
="02";="лг лекос-жаялайеио";3;="2075";="аябамитг вяистима";="210-6256853";41,42;0,64;0,86;3,36;0,00;0,00;41,42;100,00;0,00;0,00;0,00;0,00;0,24;0,58;
="02";="лг лекос-жаялайеио";4;="2159";="боктуяайг елл. аяцуяы";="210-3227854";55,13;0,85;1,15;4,50;0,00;0,00;55,13;100,00;0,00;0,00;0,00;0,00;-3,36;-6,09;
="02";="лг лекос-жаялайеио";5;="2104";="цакамг и. йуяиайг";="210-6801560";97,14;1,51;2,02;6,52;0,00;0,00;97,14;100,00;0,00;0,00;0,00;0,00;-0,45;-0,46;
="02";="лг лекос-жаялайеио";6;="2085";="цеыяцайайоу стяакка еуцемиа";="210-6528485";131,84;2,04;2,74;9,26;0,00;0,00;131,84;100,00;0,00;0,00;0,00;0,00;0,12;0,09;
="02";="лг лекос-жаялайеио";7;="2210";="цеыяцайопоукос памациытгс";="210-9930103";71,07;1,10;1,48;10,74;0,00;0,00;71,07;100,00;0,00;0,00;0,00;0,00;0,39;0,55;
="02";="лг лекос-жаялайеио";8;="2212";="цйатсиоудг сожиа";="210-6218810";181,71;2,82;3,78;14,51;0,00;0,00;181,71;100,00;0,00;0,00;0,00;0,00;-0,31;-0,17;
="02";="лг лекос-жаялайеио";9;="2208";="цйяицйояиеба еиягмг";="210-9423241";6,78;0,11;0,14;14,65;0,00;0,00;6,78;100,00;0,00;0,00;0,00;0,00;-0,13;-1,92;
="02";="лг лекос-жаялайеио";10;="2053";="дяитса еиягмг";="2114118000";20,82;0,32;0,43;15,09;0,00;0,00;20,82;100,00;0,00;0,00;0,00;0,00;-6,55;-31,46;
="02";="лг лекос-жаялайеио";11;="2146";="фаяоцоукидгс а памациытгс";="23810-97677";485,23;7,52;10,08;25,17;485,23;100,00;0,00;0,00;0,00;0,00;0,00;0,00;5,35;1,10;
="02";="лг лекос-жаялайеио";12;="2057";="иыайеилоцкоу в. екемг";="210-8011479";85,37;1,32;1,77;26,95;0,00;0,00;85,37;100,00;0,00;0,00;0,00;0,00;0,38;0,45;
="02";="лг лекос-жаялайеио";13;="2082";="йабоуяас елл. амтымиос";="210-8646651";97,14;1,51;2,02;28,96;0,00;0,00;97,14;100,00;0,00;0,00;0,00;0,00;-0,45;-0,46;
="02";="лг лекос-жаялайеио";14;="2241";="йайаяиаяг бас. калпяимг";="210-5139451";178,00;2,76;3,70;32,66;0,00;0,00;178,00;100,00;0,00;0,00;0,00;0,00;-0,14;-0,08;
="02";="лг лекос-жаялайеио";15;="2133";="йайолгтас с. ахамасиос";="2102827162";30,89;0,48;0,64;33,31;0,00;0,00;30,89;100,00;0,00;0,00;0,00;0,00;-0,70;-2,27;
="02";="лг лекос-жаялайеио";16;="2015";="йакоцгяос петяос";="210-2111194";13,46;0,21;0,28;33,59;0,00;0,00;13,46;100,00;0,00;0,00;0,00;0,00;-0,97;-7,21;
="02";="лг лекос-жаялайеио";17;="2109";="йалпесг ц. оуяамиа";="2105141861";110,94;1,72;2,31;35,89;0,00;0,00;110,94;100,00;0,00;0,00;0,00;0,00;1,07;0,96;
="02";="лг лекос-жаялайеио";18;="2251";="йавтитсг хеодыяа йаи сиа ее";="2109225144";50,00;0,77;1,04;36,93;0,00;0,00;50,00;100,00;0,00;0,00;0,00;0,00;5,95;11,90;
="02";="лг лекос-жаялайеио";19;="2060";="йоуциамоу лаяиа";="2110132182";59,28;0,92;1,23;38,16;0,00;0,00;59,28;100,00;0,00;0,00;0,00;0,00;-11,11;-18,74;
