йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="01";="лекос";1;="0981";="аццекидайг лаяиа - матакиа";="2810-221084";5053,87;0,69;0,70;0,70;5836,54;115,49;438,94;8,69;103,94;2,06;-1325,55;-26,23;-990,47;-19,60;
="01";="лекос";2;="0991";="акгцифайг  вяусамхг";="2810-222393";11664,49;1,59;1,61;2,30;11249,27;96,44;728,77;6,25;0,00;0,00;-313,55;-2,69;380,52;3,26;
="01";="лекос";3;="0027";="акижиеяайг лаяиа";="2810-282750";5794,40;0,79;0,80;3,10;5604,83;96,73;267,35;4,61;0,00;0,00;-77,78;-1,34;260,67;4,50;
="01";="лекос";4;="1131";="амастасайг стукиамг";="2810-228216";4647,92;0,63;0,64;3,74;4356,05;93,72;458,05;9,85;31,28;0,67;-197,46;-4,25;90,40;1,94;
="01";="лекос";5;="0314";="апидиамайг ц.аяцуяы";="28420-27633";67,15;0,01;0,01;3,75;0,00;0,00;93,67;139,49;0,00;0,00;-26,52;-39,49;2,08;3,10;
="01";="лекос";6;="1067";="баядайг лаяиа";="2810-255011";12665,98;1,73;1,75;5,50;12773,71;100,85;442,73;3,50;114,25;0,90;-664,71;-5,25;91,08;0,72;
="01";="лекос";7;="0056";="баядиалпасгс йымстамтимос";="28310-31887";-483,00;-0,07;-0,07;5,43;0,00;0,00;0,00;0,00;0,00;0,00;-483,00;100,00;-483,00;100,00;
="01";="лекос";8;="0052";="бкавос басикеиос";="2810-239024";6138,06;0,84;0,85;6,28;6301,96;102,67;211,89;3,45;45,90;0,75;-421,69;-6,87;-69,57;-1,13;
="01";="лекос";9;="0188";="бокымайгс авиккеас";="28920-22172";17946,20;2,45;2,47;8,75;18434,38;102,72;196,13;1,09;504,58;2,81;-1188,89;-6,62;-264,20;-1,47;
="01";="лекос";10;="0610";="бяемтфос иыаммгс";="2810-250668";14601,01;1,99;2,01;10,76;14604,19;100,02;428,14;2,93;0,00;0,00;-431,32;-2,95;366,18;2,51;
="01";="лекос";11;="0080";="цоуямиефайгс латхаиос";="28950-22140";17601,63;2,40;2,43;13,19;16709,93;94,93;1135,49;6,45;226,97;1,29;-470,76;-2,67;679,30;3,86;
="01";="лекос";12;="0999";="дайамакг амастасиа";="28910-91495";11801,53;1,61;1,63;14,82;11778,10;99,80;299,48;2,54;39,10;0,33;-315,15;-2,67;361,61;3,06;
="01";="лекос";13;="0085";="дамекайгс йымстамтимос";="28970-22159";4247,74;0,58;0,59;15,40;3924,88;92,40;316,91;7,46;5,95;0,14;0,00;0,00;254,85;6,00;
="01";="лекос";14;="0057";="дасйакайг аийатеяимг(яехулмо)";="28310-22441";91,55;0,01;0,01;15,41;0,00;0,00;91,55;100,00;0,00;0,00;0,00;0,00;30,68;33,51;
="01";="лекос";15;="0106";="диайайг-йоййимайг еуац-йоййимайг лаяима сж ое";="2810-210196";7409,24;1,01;1,02;16,44;8899,95;120,12;302,78;4,09;71,24;0,96;-1864,73;-25,17;-1383,21;-18,67;
="01";="лекос";16;="0329";="дяалитимоу цеыяциа";="28310-23026";-412,66;-0,06;-0,06;16,38;0,00;0,00;23,04;-5,58;0,00;0,00;-435,70;105,58;-422,66;102,42;
="01";="лекос";17;="1117";="дяалоумтамгс ц еуаццекос";="28940-22407";12568,76;1,72;1,73;18,11;13400,46;106,62;328,09;2,61;51,76;0,41;-1211,55;-9,64;-468,87;-3,73;
