йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="01";="лекос";1;="0981";="аццекидайг лаяиа - матакиа";="2810-221084";1267,28;1,61;1,66;1,66;328,05;25,89;939,23;74,11;0,00;0,00;0,00;0,00;148,35;11,71;
="01";="лекос";2;="0991";="акгцифайг  вяусамхг";="2810-222393";297,14;0,38;0,39;2,05;0,00;0,00;297,14;100,00;0,00;0,00;0,00;0,00;26,32;8,86;
="01";="лекос";3;="1131";="амастасайг стукиамг";="2810-228216";1411,67;1,79;1,85;3,89;487,38;34,53;924,29;65,47;0,00;0,00;0,00;0,00;152,96;10,84;
="01";="лекос";4;="0314";="апидиамайг ц.аяцуяы";="28420-27633";930,38;1,18;1,22;5,11;0,00;0,00;930,38;100,00;0,00;0,00;0,00;0,00;156,42;16,81;
="01";="лекос";5;="1067";="баядайг лаяиа";="2810-255011";608,48;0,77;0,80;5,90;0,00;0,00;608,48;100,00;0,00;0,00;0,00;0,00;61,35;10,08;
="01";="лекос";6;="0056";="баядиалпасгс йымстамтимос";="28310-31887";175,64;0,22;0,23;6,13;0,00;0,00;175,64;100,00;0,00;0,00;0,00;0,00;21,26;12,10;
="01";="лекос";7;="0052";="бкавос басикеиос";="2810-239024";278,27;0,35;0,36;6,50;0,00;0,00;278,27;100,00;0,00;0,00;0,00;0,00;33,78;12,14;
="01";="лекос";8;="0188";="бокымайгс авиккеас";="28920-22172";1048,07;1,33;1,37;7,87;0,00;0,00;1048,07;100,00;0,00;0,00;0,00;0,00;55,42;5,29;
="01";="лекос";9;="0610";="бяемтфос иыаммгс";="2810-250668";1339,13;1,70;1,75;9,62;462,57;34,54;876,56;65,46;0,00;0,00;0,00;0,00;146,77;10,96;
="01";="лекос";10;="0080";="цоуямиефайгс латхаиос";="28950-22140";1094,45;1,39;1,43;11,05;305,17;27,88;789,28;72,12;0,00;0,00;0,00;0,00;91,94;8,40;
="01";="лекос";11;="0999";="дайамакг амастасиа";="28910-91495";337,56;0,43;0,44;11,49;66,69;19,76;270,87;80,24;0,00;0,00;0,00;0,00;66,81;19,79;
="01";="лекос";12;="0085";="дамекайгс йымстамтимос";="28970-22159";62,12;0,08;0,08;11,57;0,00;0,00;62,12;100,00;0,00;0,00;0,00;0,00;15,94;25,66;
="01";="лекос";13;="0057";="дасйакайг аийатеяимг(яехулмо)";="28310-22441";362,58;0,46;0,47;12,04;0,00;0,00;362,58;100,00;0,00;0,00;0,00;0,00;40,22;11,09;
="01";="лекос";14;="0106";="диайайг-йоййимайг еуац-йоййимайг лаяима сж ое";="2810-210196";656,54;0,83;0,86;12,90;231,43;35,25;425,11;64,75;0,00;0,00;0,00;0,00;64,89;9,88;
="01";="лекос";15;="0329";="дяалитимоу цеыяциа";="28310-23026";505,58;0,64;0,66;13,56;0,00;0,00;505,58;100,00;0,00;0,00;0,00;0,00;69,58;13,76;
="01";="лекос";16;="1117";="дяалоумтамгс ц еуаццекос";="28940-22407";315,90;0,40;0,41;13,98;0,00;0,00;315,90;100,00;0,00;0,00;0,00;0,00;35,91;11,37;
="01";="лекос";17;="0120";="фаваяемайгс иыаммгс";="2810-223918";306,71;0,39;0,40;14,38;0,00;0,00;306,71;100,00;0,00;0,00;0,00;0,00;47,65;15,54;
="01";="лекос";18;="0985";="фыцяажос стежамос";="28310-27730";537,80;0,68;0,70;15,08;0,00;0,00;537,80;100,00;0,00;0,00;0,00;0,00;79,35;14,75;
="01";="лекос";19;="0296";="хыладайг елл. иыамма";="28310-28366";548,13;0,70;0,72;15,80;0,00;0,00;548,13;100,00;0,00;0,00;0,00;0,00;54,28;9,90;
="01";="лекос";20;="0323";="йаббакоу екемг";="28310-21115";555,56;0,70;0,73;16,52;0,00;0,00;555,56;100,00;0,00;0,00;0,00;0,00;56,37;10,15;
="01";="лекос";21;="0237";="йакоцеяайгс иыаммгс & сиа ое";="28310-22187";447,33;0,57;0,58;17,11;0,00;0,00;447,33;100,00;0,00;0,00;0,00;0,00;43,84;9,80;
="01";="лекос";22;="0805";="йакоеида-баядиалпасг екемг";="28310-24198";520,70;0,66;0,68;17,79;0,00;0,00;520,70;100,00;0,00;0,00;0,00;0,00;48,14;9,25;
="01";="лекос";23;="0037";="йамиадайгс амтымгс";="2810-239923";177,74;0,23;0,23;18,02;0,00;0,00;177,74;100,00;0,00;0,00;0,00;0,00;30,79;17,32;
="01";="лекос";24;="0021";="йаяоуфайгс еуаццекос & сиа ее";="2810-211221";915,08;1,16;1,20;19,22;202,23;22,10;712,85;77,90;0,00;0,00;0,00;0,00;91,66;10,02;
="01";="лекос";25;="0146";="йатакацаяиамоу и.еуаццекиа";="2810-284519";13,65;0,02;0,02;19,24;0,00;0,00;13,65;100,00;0,00;0,00;0,00;0,00;1,51;11,06;
="01";="лекос";26;="0612";="йатсидомиытайгс цеыяциос";="28420-26613";165,82;0,21;0,22;19,45;0,00;0,00;165,82;100,00;0,00;0,00;0,00;0,00;29,74;17,94;
="01";="лекос";27;="1068";="йажетфайг лаяиа-тфыяайокеухеяайгс басикеиос лаяиос сж ое";="2810-254698";974,55;1,24;1,27;20,73;426,23;43,74;548,32;56,26;0,00;0,00;0,00;0,00;102,78;10,55;
="01";="лекос";28;="0256";="йгкаидайгс мийокаос Т.гкиа";="2810-224714";157,60;0,20;0,21;20,93;0,00;0,00;157,60;100,00;0,00;0,00;0,00;0,00;26,00;16,50;
="01";="лекос";29;="0169";="йкаьимайг лаяиамма";="2810-238604";284,14;0,36;0,37;21,30;284,14;100,00;0,00;0,00;0,00;0,00;0,00;0,00;20,36;7,17;
="01";="лекос";30;="0341";="йоубидг тгк. еуаццекиа";="2810-320552";424,50;0,54;0,55;21,86;0,00;0,00;424,50;100,00;0,00;0,00;0,00;0,00;47,94;11,29;
="01";="лекос";31;="0243";="йяомтгягс д. иыаммгс";="28920 51200";2471,61;3,13;3,23;25,09;1130,77;45,75;1340,84;54,25;0,00;0,00;0,00;0,00;206,29;8,35;
="01";="лекос";32;="0195";="йяомтгягс дглгтяиос";="28920-31260";1087,73;1,38;1,42;26,51;974,04;89,55;113,69;10,45;0,00;0,00;0,00;0,00;43,87;4,03;
="01";="лекос";33;="1173";="йуяиафг йаккиопг";="28440-22310";1423,30;1,80;1,86;28,37;439,12;30,85;984,18;69,15;0,00;0,00;0,00;0,00;99,57;7,00;
="01";="лекос";34;="1153";="кацоудг й - йаяациаммг м. сж ое";="2810-239582";42,06;0,05;0,05;28,43;0,00;0,00;42,06;100,00;0,00;0,00;0,00;0,00;5,68;13,50;
="01";="лекос";35;="0227";="кебемтайг лаяиа";="2810-288493";445,24;0,56;0,58;29,01;0,00;0,00;445,24;100,00;0,00;0,00;0,00;0,00;40,16;9,02;
="01";="лекос";36;="0659";="киодайг стауяытг & сиа ое";="2810-221255";2180,29;2,76;2,85;31,86;0,00;0,00;2180,29;100,00;0,00;0,00;0,00;0,00;177,20;8,13;
="01";="лекос";37;="1091";="лайяуциаммайгс ф. йымстамтимос & сиа ое";="2810-283870";94,41;0,12;0,12;31,98;0,00;0,00;94,41;100,00;0,00;0,00;0,00;0,00;12,67;13,42;
="01";="лекос";38;="0821";="лакежитсайгс еллам.ця.";="28920-51927";1353,09;1,72;1,77;33,75;694,31;51,31;658,78;48,69;0,00;0,00;0,00;0,00;141,88;10,49;
="01";="лекос";39;="1089";="лакоупос ц. мийокаос";="2810-220403";413,37;0,52;0,54;34,29;225,03;54,44;188,34;45,56;0,00;0,00;0,00;0,00;46,65;11,29;
="01";="лекос";40;="0673";="лаяоукайг акийг";="28420-41086";364,17;0,46;0,48;34,77;0,00;0,00;364,17;100,00;0,00;0,00;0,00;0,00;32,10;8,81;
="01";="лекос";41;="0251";="лемецайг е.-лыусайг к. ое";="2810-225360";1875,58;2,38;2,45;37,22;811,13;43,25;1064,45;56,75;0,00;0,00;0,00;0,00;175,25;9,34;
="01";="лекос";42;="0079";="леяымиамайг ф. стукиамг";="28330-41050";190,07;0,24;0,25;37,47;0,00;0,00;190,07;100,00;0,00;0,00;0,00;0,00;30,58;16,09;
="01";="лекос";43;="1170";="летанайгс цеыяциос";="28910-23381";1548,08;1,96;2,02;39,49;484,95;31,33;1063,13;68,67;0,00;0,00;0,00;0,00;156,81;10,13;
="01";="лекос";44;="0276";="ливекайгс елламоугк йаи сиа ое";="28920-22356";736,59;0,93;0,96;40,46;0,00;0,00;736,59;100,00;0,00;0,00;0,00;0,00;84,13;11,42;
="01";="лекос";45;="0969";="лпимивайгс стауяос";="2810-222965";1513,36;1,92;1,98;42,43;707,05;46,72;806,31;53,28;0,00;0,00;0,00;0,00;127,74;8,44;
="01";="лекос";46;="0443";="нукоуяг еиягмг";="28940-22723";38,08;0,05;0,05;42,48;0,00;0,00;38,08;100,00;0,00;0,00;0,00;0,00;12,20;32,04;
="01";="лекос";47;="0118";="пацымг ак. еуцемиа";="28310-24158";995,26;1,26;1,30;43,78;0,00;0,00;995,26;100,00;0,00;0,00;0,00;0,00;99,20;9,97;
="01";="лекос";48;="0727";="памациытайг пекациа";="2810-213368";936,64;1,19;1,22;45,01;206,80;22,08;729,84;77,92;0,00;0,00;0,00;0,00;92,05;9,83;
="01";="лекос";49;="0321";="пападайгс амтымиос & сиа ее";="2810-221460";2167,26;2,75;2,83;47,84;1159,17;53,49;1008,09;46,51;0,00;0,00;0,00;0,00;169,83;7,84;
="01";="лекос";50;="0018";="пападайгс ливагк & сиа ое";="28310-71431";1133,24;1,44;1,48;49,32;0,00;0,00;1133,24;100,00;0,00;0,00;0,00;0,00;132,71;11,71;
="01";="лекос";51;="0462";="пападайгс мийокаос";="2810-313457";23,36;0,03;0,03;49,35;0,00;0,00;23,36;100,00;0,00;0,00;0,00;0,00;2,91;12,46;
="01";="лекос";52;="0322";="пападоциыяцайг лаяиа";="28910-23310";261,19;0,33;0,34;49,70;0,00;0,00;261,19;100,00;0,00;0,00;0,00;0,00;33,04;12,65;
="01";="лекос";53;="0103";="пападойыстайгс елламоугк";="2810-743758";431,15;0,55;0,56;50,26;0,00;0,00;431,15;100,00;0,00;0,00;0,00;0,00;91,19;21,15;
="01";="лекос";54;="0108";="петяопоукоу амтымиа";="28330-22777";1130,18;1,43;1,48;51,74;0,00;0,00;1130,18;100,00;0,00;0,00;0,00;0,00;124,96;11,06;
="01";="лекос";55;="0196";="пкайидас иым. стауяос";="2810-287529";25,00;0,03;0,03;51,77;0,00;0,00;25,00;100,00;0,00;0,00;0,00;0,00;4,41;17,64;
="01";="лекос";56;="0144";="покитайгс елламоугк";="2810-821454";957,91;1,21;1,25;53,02;0,00;0,00;957,91;100,00;0,00;0,00;0,00;0,00;128,95;13,46;
="01";="лекос";57;="1147";="пяатийайг еуац & вакйиадайгс ц.-йым.мос сж ое";="28920-22585";679,74;0,86;0,89;53,91;0,00;0,00;679,74;100,00;0,00;0,00;0,00;0,00;65,89;9,69;
="01";="лекос";58;="0099";="пяимаягс цеыяциос";="2810-240910";2859,46;3,63;3,74;57,65;2342,45;81,92;517,01;18,08;0,00;0,00;0,00;0,00;160,67;5,62;
