йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="01";="лекос";1;="0314";="апидиамайг аяцуяы";="28420-27633";11125,64;2,80;3,31;3,31;10988,30;98,77;306,07;2,75;52,58;0,47;-221,31;-1,99;291,23;2,62;
="01";="лекос";2;="0601";="асйонукайгс йым/мос елл.";="28410-82408";8312,33;2,09;2,47;5,78;8066,74;97,05;218,44;2,63;27,15;0,33;0,00;0,00;416,46;5,01;
="01";="лекос";3;="0211";="аспяадайг гкиамма";="28430-94466";830,24;0,21;0,25;6,02;814,70;98,13;15,54;1,87;0,00;0,00;0,00;0,00;40,20;4,84;
="01";="лекос";4;="0107";="аспяадайгс иыаммгс & сиа ое";="28420-22832";17690,26;4,45;5,26;11,28;16954,21;95,84;223,65;1,26;512,40;2,90;0,00;0,00;814,11;4,60;
="01";="лекос";5;="0163";="балбасайгс авиккеас & сиа ее жаялайеио";="28410-24291";10199,37;2,57;3,03;14,31;10100,45;99,03;17,72;0,17;81,20;0,80;0,00;0,00;462,22;4,53;
="01";="лекос";6;="1164";="бажеиадгс йымстамтимос";="28420-28884";8941,09;2,25;2,66;16,97;8533,00;95,44;348,86;3,90;59,23;0,66;0,00;0,00;398,64;4,46;
="01";="лекос";7;="0357";="цйоула сожиа & сиа оее";="28410-22836";15213,44;3,83;4,52;21,49;15068,13;99,04;158,75;1,04;105,79;0,70;-119,23;-0,78;667,00;4,38;
="01";="лекос";8;="0041";="деялитфайг лаяиа & сиа ое";="28420-22479";9004,95;2,27;2,68;24,16;8553,69;94,99;386,26;4,29;65,00;0,72;0,00;0,00;409,86;4,55;
="01";="лекос";9;="0097";="фацояос памациытгс";="28410-61180";7908,32;1,99;2,35;26,51;7561,23;95,61;197,35;2,50;149,74;1,89;0,00;0,00;377,20;4,77;
="01";="лекос";10;="0042";="фыайг йаккиопг";="28410-28298";14580,02;3,67;4,33;30,84;14266,52;97,85;293,51;2,01;19,99;0,14;0,00;0,00;666,70;4,57;
="01";="лекос";11;="0608";="йакдгс йым/мос";="28430-24455";6733,62;1,69;2,00;32,84;6770,72;100,55;120,10;1,78;0,00;0,00;-157,20;-2,33;180,66;2,68;
="01";="лекос";12;="0126";="йаяалпека стауяоука";="28430-61410";10317,91;2,60;3,07;35,91;9986,44;96,79;196,37;1,90;135,10;1,31;0,00;0,00;401,93;3,90;
="01";="лекос";13;="0612";="йатсидомиытайгс цеыяциос";="28420-26613";2508,90;0,63;0,75;36,66;2415,52;96,28;93,38;3,72;0,00;0,00;0,00;0,00;124,60;4,97;
="01";="лекос";14;="0806";="йыстаяас аяистотекгс";="28430-23773";10113,55;2,54;3,00;39,66;9971,83;98,60;111,52;1,10;30,20;0,30;0,00;0,00;504,90;4,99;
="01";="лекос";15;="0673";="лаяоукайг акийг";="28420-41086";3590,40;0,90;1,07;40,73;3553,07;98,96;114,60;3,19;11,24;0,31;-88,51;-2,47;93,69;2,61;
="01";="лекос";16;="0893";="лауяойоуйоукайгс лаяйос";="28420-24888";2912,38;0,73;0,87;41,59;2803,47;96,26;108,91;3,74;0,00;0,00;0,00;0,00;128,20;4,40;
