йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="01";="лекос";1;="0314";="апидиамайг аяцуяы";="28420-27633";1691,59;12,09;12,65;12,65;1649,81;97,53;41,78;2,47;0,00;0,00;0,00;0,00;44,13;2,61;
="01";="лекос";2;="0601";="асйонукайгс йым/мос елл.";="28410-82408";548,96;3,92;4,11;16,76;511,43;93,16;37,53;6,84;0,00;0,00;0,00;0,00;13,27;2,42;
="01";="лекос";3;="0211";="аспяадайг гкиамма";="28430-94466";555,06;3,97;4,15;20,91;505,88;91,14;49,18;8,86;0,00;0,00;0,00;0,00;11,20;2,02;
="01";="лекос";4;="0107";="аспяадайгс иыаммгс & сиа ое";="28420-22832";893,17;6,39;6,68;27,59;878,84;98,40;14,33;1,60;0,00;0,00;0,00;0,00;27,37;3,06;
="01";="лекос";5;="0163";="балбасайгс авиккеас & сиа ее жаялайеио";="28410-24291";205,83;1,47;1,54;29,13;192,18;93,37;13,65;6,63;0,00;0,00;0,00;0,00;3,31;1,61;
="01";="лекос";6;="1164";="бажеиадгс йымстамтимос";="28420-28884";54,18;0,39;0,41;29,53;40,54;74,82;13,64;25,18;0,00;0,00;0,00;0,00;-5,80;-10,71;
="01";="лекос";7;="0357";="цйоула сожиа & сиа оее";="28410-22836";1135,49;8,12;8,49;38,02;1089,85;95,98;45,64;4,02;0,00;0,00;0,00;0,00;20,71;1,82;
="01";="лекос";8;="0041";="деялитфайг лаяиа & сиа ое";="28420-22479";40,54;0,29;0,30;38,33;40,54;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
="01";="лекос";9;="0097";="фацояос памациытгс";="28410-61180";895,33;6,40;6,70;45,02;847,08;94,61;48,25;5,39;0,00;0,00;0,00;0,00;17,93;2,00;
="01";="лекос";10;="0042";="фыайг йаккиопг";="28410-28298";486,97;3,48;3,64;48,66;462,29;94,93;24,68;5,07;0,00;0,00;0,00;0,00;13,83;2,84;
="01";="лекос";11;="0608";="йакдгс йым/мос";="28430-24455";256,80;1,84;1,92;50,58;0,00;0,00;256,80;100,00;0,00;0,00;0,00;0,00;-64,14;-24,98;
="01";="лекос";12;="0126";="йаяалпека стауяоука";="28430-61410";728,96;5,21;5,45;56,04;718,61;98,58;10,35;1,42;0,00;0,00;0,00;0,00;26,89;3,69;
="01";="лекос";13;="0612";="йатсидомиытайгс цеыяциос";="28420-26613";436,84;3,12;3,27;59,30;423,20;96,88;13,64;3,12;0,00;0,00;0,00;0,00;7,43;1,70;
="01";="лекос";14;="0673";="лаяоукайг акийг";="28420-41086";538,60;3,85;4,03;63,33;533,43;99,04;5,17;0,96;0,00;0,00;0,00;0,00;22,35;4,15;
="01";="лекос";15;="0672";="лпацоядайгс цеыяциос";="28430-22276";268,06;1,92;2,00;65,34;268,06;100,00;0,00;0,00;0,00;0,00;0,00;0,00;6,22;2,32;
="01";="лекос";16;="0175";="пацйакос мийокаос";="28420-51004";516,36;3,69;3,86;69,20;502,72;97,36;13,64;2,64;0,00;0,00;0,00;0,00;2,34;0,45;
="01";="лекос";17;="1453";="пяофулгс еуаццекос";="28410-32144";14,02;0,10;0,10;69,30;0,00;0,00;14,02;100,00;0,00;0,00;0,00;0,00;0,22;1,57;
