йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="01";="лекос";1;="0314";="апидиамайг аяцуяы";="28420-27633";1297,09;12,80;13,17;13,17;1239,77;95,58;57,32;4,42;0,00;0,00;0,00;0,00;32,66;2,52;
="01";="лекос";2;="0211";="аспяадайг гкиамма";="28430-94466";58,13;0,57;0,59;13,76;0,00;0,00;58,13;100,00;0,00;0,00;0,00;0,00;0,55;0,95;
="01";="лекос";3;="0107";="аспяадайгс иыаммгс & сиа ое";="28420-22832";13,65;0,13;0,14;13,89;0,00;0,00;13,65;100,00;0,00;0,00;0,00;0,00;-5,30;-38,83;
="01";="лекос";4;="0163";="балбасайгс авиккеас & сиа ее жаялайеио";="28410-24291";426,97;4,21;4,33;18,23;413,32;96,80;13,65;3,20;0,00;0,00;0,00;0,00;8,99;2,11;
="01";="лекос";5;="0357";="цйоула сожиа & сиа оее";="28410-22836";1244,53;12,28;12,63;30,86;1117,66;89,81;126,87;10,19;0,00;0,00;0,00;0,00;39,17;3,15;
="01";="лекос";6;="0041";="деялитфайг лаяиа & сиа ое";="28420-22479";11,36;0,11;0,12;30,97;0,00;0,00;11,36;100,00;0,00;0,00;0,00;0,00;-1,42;-12,50;
="01";="лекос";7;="0097";="фацояос памациытгс";="28410-61180";42,03;0,41;0,43;31,40;0,00;0,00;42,03;100,00;0,00;0,00;0,00;0,00;-2,15;-5,12;
="01";="лекос";8;="0042";="фыайг йаккиопг";="28410-28298";13,64;0,13;0,14;31,54;0,00;0,00;13,64;100,00;0,00;0,00;0,00;0,00;-5,34;-39,15;
="01";="лекос";9;="0608";="йакдгс йым/мос";="28430-24455";64,77;0,64;0,66;32,20;0,00;0,00;64,77;100,00;0,00;0,00;0,00;0,00;-10,91;-16,84;
="01";="лекос";10;="0126";="йаяалпека стауяоука";="28430-61410";253,07;2,50;2,57;34,77;245,62;97,06;7,45;2,94;0,00;0,00;0,00;0,00;6,27;2,48;
="01";="лекос";11;="0806";="йыстаяас аяистотекгс";="28430-23773";356,40;3,52;3,62;38,38;356,40;100,00;0,00;0,00;0,00;0,00;0,00;0,00;9,83;2,76;
="01";="лекос";12;="0673";="лаяоукайг акийг";="28420-41086";254,19;2,51;2,58;40,96;254,19;100,00;0,00;0,00;0,00;0,00;0,00;0,00;8,88;3,49;
