йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="01";="лекос";1;="1448";="атсакг лаяикема";="28340 94183";2,97;0,00;0,00;0,00;2,97;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,37;12,46;
="01";="лекос";2;="0056";="баядиалпасгс йымстамтимос";="28310-31887";6102,98;1,19;1,56;1,56;6181,34;101,28;20,91;0,34;59,24;0,97;-158,51;-2,60;88,33;1,45;
="01";="лекос";3;="0138";="боулбоуяайг амастасиа";="28310-22305";7314,52;1,43;1,87;3,43;6987,68;95,53;231,34;3,16;95,50;1,31;0,00;0,00;361,56;4,94;
="01";="лекос";4;="0047";="цеыяцоукайг  ахамасиадоу йкеиы & сиа ое";="28310-25740";5355,41;1,04;1,37;4,80;5284,16;98,67;31,65;0,59;39,60;0,74;0,00;0,00;260,89;4,87;
="01";="лекос";5;="0087";="цоулемайг йымстамтима";="28320-32336";6602,43;1,29;1,69;6,49;6448,70;97,67;153,73;2,33;0,00;0,00;0,00;0,00;305,41;4,63;
="01";="лекос";6;="0082";="цупаяг еудониа";="28310-26453";11536,01;2,25;2,95;9,44;10739,63;93,10;776,52;6,73;19,86;0,17;0,00;0,00;585,20;5,07;
="01";="лекос";7;="0057";="дасйакайг аийатеяимг(яехулмо)";="28310-22441";19760,55;3,85;5,05;14,49;19574,38;99,06;448,08;2,27;151,63;0,77;-413,54;-2,09;502,40;2,54;
="01";="лекос";8;="0329";="дяалитимоу цеыяциа";="28310-23026";3932,98;0,77;1,01;15,50;3929,95;99,92;60,90;1,55;79,90;2,03;-137,77;-3,50;53,89;1,37;
="01";="лекос";9;="0868";="дяамдайг-киасйоу екемг";="28795";2880,61;0,56;0,74;16,23;2412,78;83,76;320,50;11,13;147,33;5,11;0,00;0,00;166,94;5,80;
="01";="лекос";10;="0985";="фыцяажос стежамос";="28310-27730";9742,77;1,90;2,49;18,73;9647,19;99,02;40,16;0,41;232,19;2,38;-176,77;-1,81;237,38;2,44;
="01";="лекос";11;="0296";="хыладайг елл. иыамма";="28310-28366";4865,43;0,95;1,24;19,97;4795,12;98,55;154,89;3,18;43,80;0,90;-128,38;-2,64;100,28;2,06;
