йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="01";="лекос";1;="0056";="баядиалпасгс йымстамтимос";="28310-31887";76,51;0,32;0,37;0,37;0,00;0,00;76,51;100,00;0,00;0,00;0,00;0,00;-18,02;-23,55;
="01";="лекос";2;="0138";="боулбоуяайг амастасиа";="28310-22305";636,88;2,66;3,10;3,47;561,81;88,21;75,07;11,79;0,00;0,00;0,00;0,00;13,55;2,13;
="01";="лекос";3;="0047";="цеыяцоукайг  ахамасиадоу йкеиы & сиа ое";="28310-25740";342,81;1,43;1,67;5,14;342,81;100,00;0,00;0,00;0,00;0,00;0,00;0,00;21,29;6,21;
="01";="лекос";4;="0087";="цоулемайг йымстамтима";="28320-32336";419,60;1,75;2,04;7,18;392,30;93,49;27,30;6,51;0,00;0,00;0,00;0,00;2,29;0,55;
="01";="лекос";5;="0082";="цупаяг еудониа";="28310-26453";228,98;0,96;1,11;8,30;0,00;0,00;228,98;100,00;0,00;0,00;0,00;0,00;-37,65;-16,44;
="01";="лекос";6;="0329";="дяалитимоу цеыяциа";="28310-23026";271,42;1,13;1,32;9,62;271,42;100,00;0,00;0,00;0,00;0,00;0,00;0,00;4,40;1,62;
="01";="лекос";7;="0985";="фыцяажос стежамос";="28310-27730";234,51;0,98;1,14;10,76;209,83;89,48;24,68;10,52;0,00;0,00;0,00;0,00;5,14;2,19;
="01";="лекос";8;="0323";="йаббакоу екемг";="28310-21115";1308,93;5,47;6,37;17,13;1167,66;89,21;141,27;10,79;0,00;0,00;0,00;0,00;18,99;1,45;
="01";="лекос";9;="0471";="йаккеяцг а. аццекийг";="28340-41190";91,97;0,38;0,45;17,58;0,00;0,00;91,97;100,00;0,00;0,00;0,00;0,00;-6,17;-6,71;
="01";="лекос";10;="0237";="йакоцеяайгс иыаммгс & сиа ое";="28310 22187";1199,03;5,01;5,84;23,42;1199,03;100,00;0,00;0,00;0,00;0,00;0,00;0,00;44,21;3,69;
="01";="лекос";11;="0805";="йакоеида-баядиалпасг екемг";="24198";687,43;2,87;3,35;26,76;634,76;92,34;52,67;7,66;0,00;0,00;0,00;0,00;36,01;5,24;
="01";="лекос";12;="0128";="йокекгс йымстамтимос";="50348";701,21;2,93;3,41;30,17;701,21;100,00;0,00;0,00;0,00;0,00;0,00;0,00;19,33;2,76;
="01";="лекос";13;="0379";="йоудоумаяайгс кеымидас";="28310-50640";76,51;0,32;0,37;30,55;0,00;0,00;76,51;100,00;0,00;0,00;0,00;0,00;-18,02;-23,55;
="01";="лекос";14;="0137";="йоумоупас амдяеас";="28310-22420";260,71;1,09;1,27;31,82;202,16;77,54;58,55;22,46;0,00;0,00;0,00;0,00;-1,33;-0,51;
="01";="лекос";15;="0783";="лаццамиытгс сталатгс";="27828";3244,07;13,56;15,79;47,61;3230,43;99,58;13,64;0,42;0,00;0,00;0,00;0,00;93,02;2,87;
="01";="лекос";16;="0079";="леяымиамайг ф. стукиамг";="28330-41050";478,94;2,00;2,33;49,94;478,94;100,00;0,00;0,00;0,00;0,00;0,00;0,00;12,99;2,71;
="01";="лекос";17;="0118";="пацымг ак. еуцемиа";="28310-24158";929,78;3,89;4,53;54,46;876,86;94,31;52,92;5,69;0,00;0,00;0,00;0,00;30,05;3,23;
="01";="лекос";18;="0018";="пападайгс ливагк & сиа ое";="28310-71431";14,49;0,06;0,07;54,53;0,00;0,00;14,49;100,00;0,00;0,00;0,00;0,00;-4,68;-32,30;
="01";="лекос";19;="0193";="петяопоукоу ацапг";="28310-33200";279,18;1,17;1,36;55,89;279,18;100,00;0,00;0,00;0,00;0,00;0,00;0,00;16,85;6,04;
="01";="лекос";20;="0777";="покиоудайг адаламтиа";="0834-22701";748,58;3,13;3,64;59,54;675,77;90,27;72,81;9,73;0,00;0,00;0,00;0,00;36,42;4,87;
="01";="лекос";21;="0092";="саяягс й. мийокаос";="28340-51115";85,61;0,36;0,42;59,95;0,00;0,00;85,61;100,00;0,00;0,00;0,00;0,00;-21,85;-25,52;
="01";="лекос";22;="0093";="спамтидайгс иысгж о.е.е.";="28310-23666";530,82;2,22;2,58;62,54;440,66;83,01;90,16;16,99;0,00;0,00;0,00;0,00;-0,02;0,00;
="01";="лекос";23;="0842";="стежамайг екемг";="52474";221,57;0,93;1,08;63,61;221,57;100,00;0,00;0,00;0,00;0,00;0,00;0,00;6,78;3,06;
="01";="лекос";24;="0069";="стежамайг лаяиа & сиа ое";="28340-22550";882,02;3,69;4,29;67,91;882,02;100,00;0,00;0,00;0,00;0,00;0,00;0,00;37,06;4,20;
="01";="лекос";25;="0122";="стежамайг окца & сиа ое";="28310-28283";205,00;0,86;1,00;68,91;0,00;0,00;205,00;100,00;0,00;0,00;0,00;0,00;-51,12;-24,94;
="01";="лекос";26;="0189";="сж лпяойакайг фав-пеяистеяайг тея & сиа ое";="28310-25123";719,22;3,01;3,50;72,41;704,89;98,01;14,33;1,99;0,00;0,00;0,00;0,00;28,02;3,90;
="01";="лекос";27;="0328";="сж мийокоудайгс е. мий - мийокоудайг м. еуац ое";="28310-26052";14,33;0,06;0,07;72,48;0,00;0,00;14,33;100,00;0,00;0,00;0,00;0,00;-1,95;-13,61;
="01";="лекос";28;="0867";="сж пяимиытайгс г.- бамдыяоу а. - пяимиытайгс п. о.е";="27264";64,75;0,27;0,32;72,79;0,00;0,00;64,75;100,00;0,00;0,00;0,00;0,00;-12,67;-19,57;
="01";="лекос";29;="0162";="тфилпкайайг цеыяциа";="28340-22290";949,88;3,97;4,62;77,42;884,40;93,11;65,48;6,89;0,00;0,00;0,00;0,00;25,49;2,68;
="01";="лекос";30;="0074";="тсаоукгс цеыяциос & сиа ое";="28310-25360";2561,62;10,71;12,47;89,88;2422,63;94,57;138,99;5,43;0,00;0,00;0,00;0,00;36,09;1,41;
="01";="лекос";31;="0791";="тсиолпийас цягцоягс";="54706";777,05;3,25;3,78;93,67;758,85;97,66;18,20;2,34;0,00;0,00;0,00;0,00;10,91;1,40;
="01";="лекос";32;="0089";="жяацйиадайг д. еиягмг";="28310-41535";40,95;0,17;0,20;93,87;0,00;0,00;40,95;100,00;0,00;0,00;0,00;0,00;-17,29;-42,22;
="01";="лекос";33;="0436";="жяацйиадайгс дглгтягс";="25813";101,02;0,42;0,49;94,36;0,00;0,00;101,02;100,00;0,00;0,00;0,00;0,00;-13,79;-13,65;
="01";="лекос";34;="0049";="ваяйиамайгс мийокаос";="28310-23088";55,14;0,23;0,27;94,63;0,00;0,00;55,14;100,00;0,00;0,00;0,00;0,00;-11,51;-20,87;
="01";="лекос";35;="0740";="ьуваяайг еуяидийг";="28310 32927";1104,25;4,62;5,37;100,00;1104,25;100,00;0,00;0,00;0,00;0,00;0,00;0,00;32,40;2,93;
йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="02";="лг лекос-жаялайеио";1;="1463";="ALEFANTINOU PHARMACY ийе";="28310-26115";14,33;0,06;0,42;0,42;0,00;0,00;14,33;100,00;0,00;0,00;0,00;0,00;-1,95;-13,61;
="02";="лг лекос-жаялайеио";2;="1471";="амастасайгс еут. хяасубоукос";="28210-72156";31,03;0,13;0,92;1,34;0,00;0,00;31,03;100,00;0,00;0,00;0,00;0,00;-11,33;-36,51;
="02";="лг лекос-жаялайеио";3;="0254";="цмажайг еужяосумг";="28210-64460";27,98;0,12;0,83;2,17;0,00;0,00;27,98;100,00;0,00;0,00;0,00;0,00;-7,67;-27,41;
="02";="лг лекос-жаялайеио";4;="1169";="хеодыяайгс ц. амтымиос";="28210-88902";53,05;0,22;1,57;3,74;5,97;11,25;47,08;88,75;0,00;0,00;0,00;0,00;-1,77;-3,34;
="02";="лг лекос-жаялайеио";5;="1473";="ймихайг мий. аийатеяимг";="28210-97980";8,13;0,03;0,24;3,98;0,00;0,00;8,13;100,00;0,00;0,00;0,00;0,00;-1,21;-14,88;
="02";="лг лекос-жаялайеио";6;="0829";="ламатайгс м. иыаммгс";="28250-61000";20,46;0,09;0,61;4,59;0,00;0,00;20,46;100,00;0,00;0,00;0,00;0,00;-8,61;-42,08;
="02";="лг лекос-жаялайеио";7;="0959";="ливагкидоу с. & сиа ое";="28250-61519";40,08;0,17;1,19;5,77;0,00;0,00;40,08;100,00;0,00;0,00;0,00;0,00;-9,40;-23,45;
="02";="лг лекос-жаялайеио";8;="0354";="ливекайг ц. аийатеяимг";="28210-09551";42,32;0,18;1,25;7,02;0,00;0,00;42,32;100,00;0,00;0,00;0,00;0,00;-0,08;-0,19;
="02";="лг лекос-жаялайеио";9;="1461";="лпа'и'кайг лив. еиягмг";="28250-62893";42,46;0,18;1,26;8,28;0,00;0,00;42,46;100,00;0,00;0,00;0,00;0,00;-12,36;-29,11;
="02";="лг лекос-жаялайеио";10;="0544";="лпотымайгс иыаммгс";="28210-60078";14,26;0,06;0,42;8,70;0,00;0,00;14,26;100,00;0,00;0,00;0,00;0,00;-2,15;-15,08;
="02";="лг лекос-жаялайеио";11;="0192";="яаисайгс йыстас йаи сиа ое";="28210-58844";24,56;0,10;0,73;9,43;0,00;0,00;24,56;100,00;0,00;0,00;0,00;0,00;-0,01;-0,04;
="02";="лг лекос-жаялайеио";12;="1156";="сйакидгс иыаммгс";="28320-20010";256,33;1,07;7,58;17,01;231,61;90,36;24,72;9,64;0,00;0,00;0,00;0,00;9,03;3,52;
="02";="лг лекос-жаялайеио";13;="0352";="стяатоудайг амма";="28210-02740";76,51;0,32;2,26;19,27;0,00;0,00;76,51;100,00;0,00;0,00;0,00;0,00;-18,02;-23,55;
