йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="01";="лекос";1;="1452";="акажайг  тсалпийа - екеухеяиа";="2241022285";3716,39;0,75;0,89;0,89;3252,27;87,51;452,82;12,18;11,30;0,30;0,00;0,00;250,26;6,73;
="01";="лекос";2;="1340";="байиамгс  хеожамгс";="2241078803";4742,08;0,96;1,13;2,02;4487,91;94,64;231,57;4,88;22,60;0,48;0,00;0,00;302,43;6,38;
="01";="лекос";3;="1430";="цабакас елл. басикеиос";="22430-23828";870,89;0,18;0,21;2,23;788,17;90,50;82,72;9,50;0,00;0,00;0,00;0,00;56,45;6,48;
="01";="лекос";4;="1292";="цкемтгс йымстамтимос";="22410-28828";216,23;0,04;0,05;2,28;127,02;58,74;89,21;41,26;0,00;0,00;0,00;0,00;23,98;11,09;
="01";="лекос";5;="1201";="екеухеяиадоу жытеимг";="22410-62968";12575,74;2,55;3,01;5,29;12411,48;98,69;104,10;0,83;60,16;0,48;0,00;0,00;838,71;6,67;
="01";="лекос";6;="1220";="еухулиадгс ваяакалпос";="22410-67830";4614,89;0,93;1,10;6,39;4482,02;97,12;100,77;2,18;32,10;0,70;0,00;0,00;278,90;6,04;
="01";="лекос";7;="1257";="иыаммидгс цеыяциос";="22410-35503";415,69;0,08;0,10;6,49;226,73;54,54;169,66;40,81;19,30;4,64;0,00;0,00;37,28;8,97;
="01";="лекос";8;="1315";="йафоуккайгс иппойяатгс";="2241033038";6205,02;1,26;1,48;7,98;5946,71;95,84;230,97;3,72;151,69;2,44;-124,35;-2,00;288,91;4,66;
="01";="лекос";9;="1274";="йасапгс йуяиайос";="22410-93001";18815,79;3,81;4,50;12,48;17312,05;92,01;1406,00;7,47;494,84;2,63;-397,10;-2,11;798,78;4,25;
="01";="лекос";10;="1279";="йассамг стауяоука";="22420-30222";3778,68;0,76;0,90;13,38;3838,82;101,59;0,00;0,00;0,00;0,00;-60,14;-1,59;189,27;5,01;
="01";="лекос";11;="1408";="йатыцас  гкиас";="2241036977";9548,26;1,93;2,28;15,66;9291,91;97,32;242,55;2,54;122,59;1,28;-108,79;-1,14;484,50;5,07;
="01";="лекос";12;="1229";="йиапойас сталатиос";="22420-25159";3173,72;0,64;0,76;16,42;3206,05;101,02;56,27;1,77;3,45;0,11;-92,05;-2,90;108,79;3,43;
="01";="лекос";13;="1380";="йоуятгс иыаммгс";="2241036683";6753,70;1,37;1,62;18,04;6865,44;101,65;210,07;3,11;10,00;0,15;-331,81;-4,91;25,51;0,38;
="01";="лекос";14;="1417";="лаккес  еуаццекос";="2241070002";14017,41;2,84;3,35;21,39;13581,68;96,89;261,46;1,87;174,27;1,24;0,00;0,00;825,97;5,89;
="01";="лекос";15;="1258";="ламдакиос мийгтас-ливагк";="22410-91817";5723,14;1,16;1,37;22,76;5704,50;99,67;124,09;2,17;41,35;0,72;-146,80;-2,57;207,86;3,63;
="01";="лекос";16;="1341";="латсицйоу лаяиа & сиа ее";="2241033144";4988,45;1,01;1,19;23,95;4827,04;96,76;161,41;3,24;0,00;0,00;0,00;0,00;327,22;6,56;
