йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="01";="лекос";1;="1452";="акажайг  тсалпийа - екеухеяиа";="2241022285";47,42;0,31;0,55;0,55;0,00;0,00;47,42;100,00;0,00;0,00;0,00;0,00;-2,08;-4,39;
="01";="лекос";2;="1430";="цабакас елл. басикеиос";="22430-23828";726,12;4,72;8,37;8,92;0,00;0,00;726,12;100,00;0,00;0,00;0,00;0,00;-120,26;-16,56;
="01";="лекос";3;="1201";="екеухеяиадоу жытеимг";="22410-62968";99,37;0,65;1,15;10,07;0,00;0,00;99,37;100,00;0,00;0,00;0,00;0,00;-5,18;-5,21;
="01";="лекос";4;="1220";="еухулиадгс ваяакалпос";="22410-67830";63,28;0,41;0,73;10,80;0,00;0,00;63,28;100,00;0,00;0,00;0,00;0,00;-0,13;-0,21;
="01";="лекос";5;="1315";="йафоуккайгс иппойяатгс";="2241033038";162,50;1,06;1,87;12,67;0,00;0,00;162,50;100,00;0,00;0,00;0,00;0,00;0,53;0,33;
="01";="лекос";6;="1274";="йасапгс йуяиайос";="22410-93001";390,48;2,54;4,50;17,17;0,00;0,00;390,48;100,00;0,00;0,00;0,00;0,00;-19,86;-5,09;
="01";="лекос";7;="1279";="йассамг стауяоука";="22420-30222";45,62;0,30;0,53;17,70;0,00;0,00;45,62;100,00;0,00;0,00;0,00;0,00;0,85;1,86;
="01";="лекос";8;="1408";="йатыцас  гкиас";="2241036977";838,83;5,45;9,67;27,37;594,15;70,83;244,68;29,17;0,00;0,00;0,00;0,00;21,42;2,55;
="01";="лекос";9;="1229";="йиапойас сталатиос";="22420-25159";62,56;0,41;0,72;28,09;0,00;0,00;62,56;100,00;0,00;0,00;0,00;0,00;-0,73;-1,17;
="01";="лекос";10;="1380";="йоуятгс иыаммгс";="2241036683";1600,12;10,40;18,45;46,54;1518,17;94,88;81,95;5,12;0,00;0,00;0,00;0,00;44,28;2,77;
="01";="лекос";11;="1417";="лаккес  еуаццекос";="2241070002";91,22;0,59;1,05;47,60;0,00;0,00;91,22;100,00;0,00;0,00;0,00;0,00;-3,86;-4,23;
="01";="лекос";12;="1258";="ламдакиос мийгтас-ливагк";="22410-91817";40,63;0,26;0,47;48,06;0,00;0,00;40,63;100,00;0,00;0,00;0,00;0,00;2,62;6,45;
